id_venda,id_cliente,id_produto,quantidade,data_venda
V0001,C0075,P0945,4,2025-02-21
V0002,C0805,P1814,2,2025-03-25
V0003,C0119,P1313,5,2024-03-31
V0004,C0589,P0509,8,2024-07-03
V0005,C0980,P0452,5,2024-05-31
V0006,C0604,P0549,7,2025-05-15
V0007,C0758,P1652,2,2025-02-04
V0008,C0469,P1222,3,2024-08-25
V0009,C0134,P0997,2,2025-03-11
V0010,C0545,P0422,9,2025-01-05
V0011,C0169,P0235,1,2025-05-26
V0012,C0440,P1163,8,2025-04-28
V0013,C0085,P0315,6,2024-06-28
V0014,C0111,P1675,8,2025-04-11
V0015,C0183,P1008,6,2024-01-27
V0016,C0806,P0268,7,2024-02-23
V0017,C0257,P1374,4,2024-02-13
V0018,C0128,P1121,7,2025-04-06
V0019,C0013,P0513,1,2024-03-06
V0020,C0783,P1980,1,2025-04-28
V0021,C0267,P1694,10,2024-08-14
V0022,C0104,P0313,4,2024-07-09
V0023,C0132,P1223,6,2024-11-27
V0024,C0245,P0281,6,2024-04-10
V0025,C0119,P1687,2,2025-03-17
V0026,C0865,P0507,4,2025-03-27
V0027,C0262,P1750,4,2024-06-13
V0028,C0124,P1813,1,2025-03-22
V0029,C0654,P1548,3,2024-07-06
V0030,C0297,P1181,1,2024-09-03
V0031,C0811,P1927,6,2024-02-16
V0032,C0820,P0832,7,2024-04-20
V0033,C0175,P0396,10,2024-07-18
V0034,C0923,P0200,6,2025-05-15
V0035,C0143,P1659,6,2024-11-16
V0036,C0061,P1892,7,2025-01-12
V0037,C0224,P1120,6,2024-05-23
V0038,C0961,P0374,2,2025-04-10
V0039,C0517,P1489,4,2024-09-21
V0040,C0193,P0473,1,2025-04-26
V0041,C0341,P0014,6,2024-11-16
V0042,C0300,P1675,8,2024-06-17
V0043,C0159,P1458,9,2024-01-07
V0044,C0367,P1532,10,2024-02-20
V0045,C0994,P1938,8,2025-01-21
V0046,C0724,P0057,3,2024-09-16
V0047,C0581,P1936,5,2024-01-17
V0048,C0765,P1574,2,2025-03-28
V0049,C0765,P0690,7,2024-11-02
V0050,C0956,P1751,6,2025-04-27
V0051,C0090,P0920,5,2024-01-06
V0052,C0513,P1144,4,2025-04-26
V0053,C0835,P1298,6,2024-06-22
V0054,C0372,P1508,10,2025-04-08
V0055,C0856,P1898,7,2025-04-13
V0056,C0655,P1994,5,2025-03-18
V0057,C0174,P0917,5,2025-02-20
V0058,C0113,P1958,1,2024-07-28
V0059,C0642,P1477,4,2024-09-29
V0060,C0538,P0191,4,2024-08-24
V0061,C0733,P0662,1,2024-11-08
V0062,C0538,P1273,8,2024-12-31
V0063,C0499,P1768,5,2024-01-31
V0064,C0353,P1146,2,2025-05-20
V0065,C0686,P1451,8,2024-07-18
V0066,C0426,P1641,1,2024-04-12
V0067,C0919,P0356,7,2024-07-13
V0068,C0005,P1187,3,2025-05-24
V0069,C0922,P0154,10,2024-04-29
V0070,C0546,P0162,7,2024-11-27
V0071,C0023,P0558,9,2024-12-25
V0072,C0694,P1748,6,2024-05-13
V0073,C0457,P0497,9,2024-06-26
V0074,C0061,P0497,6,2025-02-17
V0075,C0880,P1682,1,2024-09-10
V0076,C0154,P0217,3,2024-03-30
V0077,C0815,P1119,6,2024-02-18
V0078,C0801,P1476,2,2024-07-10
V0079,C0030,P1153,2,2024-10-01
V0080,C0068,P0309,3,2024-08-28
V0081,C0471,P0785,4,2024-08-12
V0082,C0081,P1483,5,2024-05-04
V0083,C0320,P1508,4,2024-07-31
V0084,C0307,P0248,1,2025-01-20
V0085,C0394,P1434,4,2024-01-01
V0086,C0611,P1395,2,2025-02-25
V0087,C0454,P1765,2,2024-08-19
V0088,C0413,P0204,7,2024-03-06
V0089,C0186,P1975,2,2024-10-08
V0090,C0932,P0204,4,2024-11-03
V0091,C0419,P0375,9,2024-07-04
V0092,C0797,P0002,4,2025-03-27
V0093,C0492,P1319,8,2024-04-18
V0094,C0057,P1032,8,2025-03-14
V0095,C0429,P0915,2,2024-04-02
V0096,C0540,P1344,10,2024-12-19
V0097,C0666,P0176,7,2024-03-01
V0098,C0877,P1824,3,2024-10-26
V0099,C0841,P0426,5,2024-05-16
V0100,C0323,P1750,3,2025-04-21
V0101,C0947,P0669,1,2025-01-24
V0102,C0630,P0680,3,2025-03-13
V0103,C0889,P0049,8,2024-06-29
V0104,C0250,P0408,3,2024-03-27
V0105,C0506,P1005,1,2025-03-24
V0106,C0673,P1943,7,2024-11-01
V0107,C0317,P0773,9,2024-03-16
V0108,C0814,P1047,2,2024-01-04
V0109,C0283,P1677,1,2024-07-03
V0110,C0362,P0461,7,2024-02-12
V0111,C0885,P0948,5,2024-08-23
V0112,C0509,P1734,8,2025-01-11
V0113,C0978,P0655,8,2024-02-16
V0114,C0093,P0675,9,2024-03-03
V0115,C0618,P1744,9,2024-03-31
V0116,C0019,P1631,3,2024-09-25
V0117,C0807,P1459,5,2025-04-02
V0118,C0519,P0887,5,2024-07-25
V0119,C0970,P0846,10,2025-01-19
V0120,C0101,P0038,10,2024-07-15
V0121,C0415,P1574,6,2024-10-24
V0122,C0345,P1060,8,2024-02-19
V0123,C0459,P1862,3,2025-03-24
V0124,C0900,P1877,2,2024-08-12
V0125,C0517,P1791,5,2024-10-12
V0126,C0083,P1075,2,2024-03-08
V0127,C0542,P0385,5,2024-08-28
V0128,C0614,P1314,6,2024-05-26
V0129,C0640,P1333,9,2024-12-22
V0130,C0384,P0401,10,2024-05-10
V0131,C0540,P1656,8,2024-06-16
V0132,C0309,P1529,10,2025-03-14
V0133,C0542,P0289,2,2025-04-17
V0134,C0969,P0102,4,2024-01-20
V0135,C0117,P1259,10,2024-05-17
V0136,C0511,P0237,4,2024-04-27
V0137,C0913,P0497,1,2025-04-24
V0138,C0923,P1252,3,2024-06-24
V0139,C0206,P0332,6,2024-07-01
V0140,C0429,P1075,9,2024-08-13
V0141,C0404,P1443,4,2025-05-14
V0142,C0316,P1890,9,2024-07-12
V0143,C0480,P0778,6,2025-03-13
V0144,C0712,P0412,6,2025-05-17
V0145,C0542,P0672,2,2024-03-11
V0146,C0442,P0458,2,2025-01-04
V0147,C0577,P0119,6,2024-02-06
V0148,C0406,P0894,5,2024-11-17
V0149,C0837,P0193,5,2024-11-01
V0150,C0873,P1000,2,2024-03-31
V0151,C0100,P1053,1,2025-01-27
V0152,C0739,P1640,2,2024-07-06
V0153,C0114,P1358,8,2024-11-21
V0154,C0972,P0043,5,2024-12-09
V0155,C0990,P0723,3,2025-02-11
V0156,C0137,P1149,3,2025-05-07
V0157,C0420,P1781,7,2024-08-03
V0158,C0008,P1794,4,2024-06-23
V0159,C0647,P0323,6,2024-04-25
V0160,C0934,P1159,3,2024-03-01
V0161,C0698,P1800,3,2024-04-25
V0162,C0922,P1256,8,2024-05-11
V0163,C0807,P0559,8,2024-03-06
V0164,C0357,P1170,5,2024-09-03
V0165,C0157,P0705,5,2024-01-10
V0166,C0947,P0222,1,2025-01-30
V0167,C0703,P0256,3,2024-01-08
V0168,C0502,P0383,5,2024-09-02
V0169,C0938,P1542,1,2024-12-11
V0170,C0945,P1380,4,2024-01-19
V0171,C0094,P1086,2,2024-10-04
V0172,C0040,P0804,2,2025-01-11
V0173,C0156,P1565,9,2024-10-01
V0174,C0652,P0362,5,2024-02-20
V0175,C0276,P1213,1,2024-09-04
V0176,C0761,P1747,1,2024-10-22
V0177,C0013,P0265,10,2025-05-15
V0178,C0091,P1375,10,2024-07-06
V0179,C0835,P1558,4,2024-08-15
V0180,C0224,P0504,6,2025-02-07
V0181,C0565,P0115,8,2024-11-02
V0182,C0341,P1846,6,2025-02-27
V0183,C0501,P0407,7,2025-01-06
V0184,C0765,P0144,3,2025-05-17
V0185,C0824,P1234,8,2024-03-14
V0186,C0230,P0637,10,2024-02-14
V0187,C0450,P1537,8,2024-01-05
V0188,C0255,P0785,4,2024-06-01
V0189,C0598,P0820,1,2024-09-15
V0190,C0387,P0581,9,2025-04-09
V0191,C0595,P0507,8,2024-09-21
V0192,C0398,P0427,1,2025-05-08
V0193,C0213,P1770,8,2024-05-05
V0194,C0298,P1332,1,2024-12-20
V0195,C0512,P1981,4,2025-04-20
V0196,C0727,P0172,1,2024-03-30
V0197,C0105,P0485,6,2024-05-18
V0198,C0036,P0832,2,2024-05-24
V0199,C0141,P1130,7,2024-09-29
V0200,C0701,P0328,10,2024-06-23
V0201,C0093,P0034,7,2024-03-07
V0202,C0318,P0629,2,2024-03-27
V0203,C0694,P1602,8,2024-04-13
V0204,C0897,P1515,7,2025-04-19
V0205,C0997,P1813,9,2024-04-26
V0206,C0266,P0305,3,2024-11-04
V0207,C0813,P1956,1,2024-11-21
V0208,C0964,P0826,2,2025-05-21
V0209,C0286,P0218,9,2025-05-09
V0210,C0028,P0458,8,2024-10-21
V0211,C0686,P1317,10,2024-11-27
V0212,C0183,P0113,3,2024-09-12
V0213,C0533,P1862,6,2025-03-29
V0214,C0506,P0003,8,2024-10-09
V0215,C0024,P1119,4,2024-11-27
V0216,C0647,P0532,1,2025-03-14
V0217,C0155,P1786,3,2024-12-05
V0218,C0662,P0062,1,2024-05-01
V0219,C0993,P0899,10,2024-06-06
V0220,C0529,P0408,5,2025-01-15
V0221,C0688,P0327,10,2024-09-21
V0222,C0500,P0447,2,2024-03-19
V0223,C0094,P1740,5,2025-02-05
V0224,C0325,P1755,8,2025-01-11
V0225,C0753,P1259,6,2024-10-06
V0226,C0204,P0617,7,2024-12-08
V0227,C0402,P0792,10,2025-05-04
V0228,C0688,P1601,4,2024-07-19
V0229,C0928,P1388,2,2024-01-08
V0230,C0672,P0947,4,2024-02-01
V0231,C0346,P0717,5,2024-08-13
V0232,C0060,P0554,2,2024-10-07
V0233,C0645,P0058,1,2024-04-27
V0234,C0404,P1023,7,2024-12-08
V0235,C0227,P0316,2,2024-05-27
V0236,C0064,P0732,8,2024-11-27
V0237,C0105,P1733,8,2024-03-10
V0238,C0679,P1228,9,2024-01-09
V0239,C0827,P0308,7,2024-07-28
V0240,C0473,P0067,10,2024-02-13
V0241,C0846,P1781,6,2024-05-14
V0242,C0966,P0808,9,2025-02-28
V0243,C0834,P0161,4,2024-01-07
V0244,C0965,P0028,4,2025-03-28
V0245,C0148,P0560,10,2024-04-12
V0246,C0092,P1494,10,2024-06-07
V0247,C0959,P0879,4,2025-04-06
V0248,C0265,P0405,1,2024-11-16
V0249,C0693,P1396,5,2024-03-24
V0250,C0944,P0117,10,2024-10-29
V0251,C0066,P0802,6,2024-10-26
V0252,C0469,P1741,4,2025-03-25
V0253,C0827,P0919,3,2025-03-13
V0254,C0736,P1777,9,2025-03-19
V0255,C0493,P1048,5,2024-06-03
V0256,C0108,P1661,1,2024-05-11
V0257,C0623,P1508,1,2025-01-29
V0258,C0137,P1602,4,2024-07-14
V0259,C0570,P1087,1,2024-07-26
V0260,C0254,P0390,8,2025-05-17
V0261,C0040,P0917,9,2024-04-24
V0262,C0711,P1991,3,2025-01-20
V0263,C0730,P0857,1,2024-04-10
V0264,C0944,P0887,9,2024-09-25
V0265,C0959,P0931,4,2025-04-17
V0266,C0388,P0874,8,2025-04-05
V0267,C0177,P0287,3,2024-05-19
V0268,C0273,P0011,2,2024-05-08
V0269,C0752,P1114,9,2024-05-20
V0270,C0649,P0533,6,2025-01-31
V0271,C0659,P0855,2,2024-08-02
V0272,C0338,P1928,3,2025-04-11
V0273,C0748,P1763,7,2024-10-17
V0274,C0821,P0928,10,2024-06-28
V0275,C0488,P0964,3,2025-05-08
V0276,C0269,P0747,6,2024-12-17
V0277,C0519,P0388,8,2024-11-06
V0278,C0173,P0369,10,2024-03-02
V0279,C0566,P0731,8,2024-08-18
V0280,C0942,P1141,1,2024-06-14
V0281,C0852,P0456,3,2025-04-12
V0282,C0368,P1834,3,2025-02-13
V0283,C0058,P1635,2,2024-05-04
V0284,C0903,P0423,2,2024-11-28
V0285,C0478,P1598,8,2024-06-10
V0286,C0311,P0672,7,2024-06-17
V0287,C0314,P1570,6,2025-03-16
V0288,C0714,P0193,7,2024-10-17
V0289,C0761,P1585,6,2025-01-27
V0290,C0249,P0355,3,2024-07-15
V0291,C0425,P0082,10,2024-12-15
V0292,C0481,P1495,1,2024-03-18
V0293,C0524,P1786,2,2025-01-22
V0294,C0432,P1617,6,2024-02-17
V0295,C0321,P0377,6,2024-01-11
V0296,C0182,P0740,2,2024-09-09
V0297,C0786,P0803,3,2024-10-13
V0298,C0812,P1043,6,2025-04-05
V0299,C0066,P1908,9,2024-04-13
V0300,C0807,P0535,1,2024-03-05
V0301,C0177,P0130,2,2024-03-19
V0302,C0636,P1585,2,2024-06-04
V0303,C0138,P1243,4,2024-01-24
V0304,C0349,P1996,1,2024-08-18
V0305,C0327,P0794,4,2024-07-30
V0306,C0133,P0149,6,2025-01-02
V0307,C0770,P1808,5,2025-05-10
V0308,C0430,P1836,5,2024-08-22
V0309,C0690,P0327,8,2024-07-22
V0310,C0091,P1597,8,2024-07-01
V0311,C0041,P0157,7,2025-02-21
V0312,C0368,P0020,8,2024-07-07
V0313,C0734,P1867,9,2025-03-12
V0314,C0534,P1236,10,2024-03-06
